,Ensembl ID,Gene name,H34_1,H34_2,W_H42_1,W_H42_2,W_H50_1,W_H50_2,W_H72_1,W_H72_2
0,ENSG00000000003,TSPAN6,68.645747,75.537798,70.819633,71.804691,60.287818,72.290161,72.149337,69.384674
1,ENSG00000000005,TNMD,1.197405,0.403021,0.201286,1.325532,0.515127,0.449946,1.871894,1.037733
2,ENSG00000000419,DPM1,72.284205,79.267739,79.507586,83.808416,82.203596,83.564978,87.967452,73.080076
3,ENSG00000000457,SCYL3,3.3132,4.147827,3.223417,2.813667,4.041595,4.364023,4.055866,4.06178
4,ENSG00000000460,C1orf112,19.929445,20.447366,22.909201,24.228317,21.685344,19.408408,21.971706,18.397693
5,ENSG00000000938,FGR,0.0,0.120229,0.090073,0.167723,0.153454,0.383024,0.069693,0.096037
6,ENSG00000000971,CFH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ENSG00000001036,FUCA2,35.054377,41.260485,43.488417,45.40435,40.168715,49.246937,44.003024,43.160907
8,ENSG00000001084,GCLC,45.397135,36.269691,45.792216,35.475268,30.185472,35.190121,29.304502,18.046974
9,ENSG00000001167,NFYA,26.721627,24.462201,27.840666,27.674703,27.97675,27.225752,27.11469,29.64555
10,ENSG00000001460,STPG1,6.540287,5.74733,5.378407,9.794784,5.856702,6.56465,6.639411,6.933136
11,ENSG00000001461,NIPAL3,3.787578,2.994029,3.169617,2.305734,2.571282,1.766053,2.855872,3.502483
12,ENSG00000001497,LAS1L,71.040492,66.532456,73.298154,66.266482,67.210149,66.039275,56.278314,58.420972
13,ENSG00000001561,ENPP4,1.320472,1.498722,1.809837,3.070368,2.563394,2.737955,2.84412,3.107011
14,ENSG00000001617,SEMA3F,21.776354,19.946052,13.341567,11.727131,11.621029,9.26812,10.559915,10.611154
15,ENSG00000001626,CFTR,2.650261,2.257712,2.723534,0.408251,0.986924,1.148354,0.274384,1.951799
16,ENSG00000001629,ANKIB1,19.644183,16.056688,21.497868,24.26901,22.6135,22.697069,22.483743,22.920936
17,ENSG00000001630,CYP51A1,58.15101,55.6171,81.695746,83.086466,59.056804,57.875836,34.240121,34.25436
18,ENSG00000001631,KRIT1,30.178698,22.552232,23.967587,26.45276,32.560962,30.628569,34.989726,29.352162
19,ENSG00000002016,RAD52,19.504348,21.858328,15.652992,12.695361,10.854395,14.372314,17.46979,15.201796
20,ENSG00000002079,MYH16,0.026831,0.0,0.0,0.0,0.096999,0.063138,0.0,0.0
21,ENSG00000002330,BAD,21.380171,18.474895,20.867604,19.16654,26.230767,26.606886,27.331741,26.195332
22,ENSG00000002549,LAP3,62.396601,59.429563,61.930201,58.001616,62.332194,60.731976,49.461853,50.828084
23,ENSG00000002586,CD99,94.698225,86.449351,85.47624,78.567221,78.4285,78.369254,69.150074,70.808245
24,ENSG00000002587,HS3ST1,0.043344,0.081468,0.108488,0.050092,0.092448,0.087216,0.37043,0.570685
25,ENSG00000002726,AOC1,0.062837,0.078804,0.057205,0.0,0.10728,0.11717,0.0,0.375958
26,ENSG00000002745,WNT16,0.103781,0.021687,0.308972,0.0,0.066807,0.118798,0.0,0.0
27,ENSG00000002746,HECW1,3.811803,1.868096,1.187141,1.028745,1.077773,1.175654,0.317615,0.479018
28,ENSG00000002822,MAD1L1,18.677158,22.048996,18.39033,16.928198,20.010769,15.000075,17.008325,18.310721
29,ENSG00000002834,LASP1,110.40907,104.05971,107.889255,100.855897,107.207272,94.427248,89.920877,89.717167
30,ENSG00000002919,SNX11,14.127552,19.194315,17.123705,16.758718,26.624388,16.836566,20.20562,27.429103
31,ENSG00000002933,TMEM176A,0.027776,0.397845,0.332303,0.0,0.366108,1.295207,0.0,0.314896
32,ENSG00000003056,M6PR,102.976106,108.922096,89.334178,92.547342,95.358575,93.758667,86.262557,86.13859
33,ENSG00000003096,KLHL13,8.07866,10.121703,6.179247,7.569008,6.523753,8.888822,16.278481,12.834484
34,ENSG00000003137,CYP26B1,0.066952,0.21611,0.116766,0.799381,0.101822,0.114005,0.175424,0.245187
35,ENSG00000003147,ICA1,14.492342,15.227333,10.165097,12.822275,8.598928,8.208933,3.274329,2.650183
36,ENSG00000003249,DBNDD1,73.238876,62.157064,74.591477,69.190317,76.451649,63.312754,38.312209,38.900381
37,ENSG00000003393,ALS2,20.743568,17.223515,21.138596,20.465996,21.826349,21.790055,25.256727,24.970618
38,ENSG00000003400,CASP10,1.768205,2.856656,1.965355,2.576473,1.017676,0.754655,1.578882,0.948484
39,ENSG00000003402,CFLAR,4.486567,4.662286,3.289238,3.621928,4.603108,3.061419,6.039645,6.261755
40,ENSG00000003436,TFPI,1.377967,0.933087,0.732617,3.373813,1.086946,0.770014,1.167562,1.385343
41,ENSG00000003509,NDUFAF7,50.807872,57.98576,25.499787,28.808949,21.694098,27.777142,24.738079,17.023279
42,ENSG00000003756,RBM5,92.618028,84.720108,86.564956,94.524616,84.214149,115.743249,107.151367,100.690546
43,ENSG00000003987,MTMR7,3.952887,4.304246,3.693709,3.669577,3.065807,3.070277,3.930418,3.936937
44,ENSG00000003989,SLC7A2,9.068037,8.21183,8.300051,8.076798,7.390951,6.773814,5.893863,5.184375
45,ENSG00000004059,ARF5,206.337849,187.839014,222.27413,206.316108,242.730085,209.735818,206.24265,214.386694
46,ENSG00000004139,SARM1,9.898888,8.924896,8.309105,10.18195,6.602041,6.806033,9.064078,6.746732
47,ENSG00000004142,POLDIP2,68.569126,61.602071,59.858752,59.211957,68.316232,64.028666,57.24241,61.853298
48,ENSG00000004399,PLXND1,16.281214,14.211806,11.637013,25.660143,18.276277,16.611357,16.507062,16.126507
49,ENSG00000004455,AK2,122.740501,133.669503,121.679252,124.454731,110.84893,125.763398,104.669624,103.091434
50,ENSG00000004468,CD38,0.091414,0.0,0.048521,0.05393,0.059516,0.13128,0.197415,0.477025
51,ENSG00000004478,FKBP4,139.699018,137.869757,108.949249,97.796521,83.980853,69.894903,58.985201,62.556522
52,ENSG00000004487,KDM1A,162.766486,165.778158,151.14992,160.329772,161.410041,157.000299,195.756609,180.140911
53,ENSG00000004534,RBM6,55.226754,62.736323,60.562885,61.082629,64.91423,70.227683,91.886998,90.079785
54,ENSG00000004660,CAMKK1,3.207841,2.889102,3.963667,2.507124,3.37326,2.970525,4.190417,4.336792
55,ENSG00000004700,RECQL,32.283515,29.383569,34.394174,44.006138,37.275075,36.379431,33.395497,30.480372
56,ENSG00000004766,VPS50,10.73715,10.890552,11.282728,11.811292,6.899575,11.965529,9.502588,4.656072
57,ENSG00000004776,HSPB6,0.209727,0.0,0.263124,0.117019,0.269024,0.355279,0.139268,0.141374
58,ENSG00000004777,ARHGAP33,16.236819,25.646659,16.79455,17.932896,26.551323,12.6165,34.683566,26.495844
59,ENSG00000004779,NDUFAB1,264.896469,272.028506,230.527997,267.709468,224.918433,247.45732,189.498711,198.047367
60,ENSG00000004799,PDK4,0.0,0.0,0.0,0.0,0.0,0.091228,0.0,0.0
61,ENSG00000004809,SLC22A16,0.0,0.32867,0.0,0.0,0.0,0.100666,0.0,0.0
62,ENSG00000004838,ZMYND10,0.267921,0.638508,0.540562,0.616013,0.98484,0.556502,1.25673,0.508372
63,ENSG00000004846,ABCB5,0.0,0.0,0.0646,0.0,0.0,0.0,0.0,0.0
64,ENSG00000004848,ARX,0.037988,0.0,0.0,0.105572,0.0,0.0,0.0,0.0
65,ENSG00000004864,SLC25A13,63.936697,63.357106,77.627158,77.054623,71.230954,77.003561,65.931796,58.358224
66,ENSG00000004866,ST7,11.14708,12.656756,12.456399,12.458361,8.583997,11.835969,7.964535,7.924275
67,ENSG00000004897,CDC27,40.22778,32.584183,46.44003,49.018424,41.564194,51.857993,57.154208,50.603961
68,ENSG00000004939,SLC4A1,0.042517,0.017414,0.0,0.0,0.0,0.0,0.0,0.053582
69,ENSG00000004948,CALCR,0.0,0.038366,0.0,0.021249,0.019584,0.0,0.075923,0.0
70,ENSG00000004961,HCCS,27.142646,27.489732,27.61044,28.154319,27.565824,29.469931,24.854351,21.689989
71,ENSG00000004975,DVL2,50.041712,44.875447,51.940074,43.998804,53.496215,48.065149,48.191969,48.060159
72,ENSG00000005001,PRSS22,0.279822,0.895605,0.0,2.127205,0.67733,0.0,0.0,0.0
73,ENSG00000005007,UPF1,62.055924,50.320089,62.821056,58.522336,69.419131,60.226755,50.563426,55.085792
74,ENSG00000005020,SKAP2,2.181231,2.130179,8.937724,12.811527,18.57959,15.568782,9.592487,10.81224
75,ENSG00000005022,SLC25A5,400.401813,429.101052,382.805351,377.021847,367.945971,369.586311,340.598186,355.584761
76,ENSG00000005059,MCUB,26.482593,29.94291,18.676321,27.216272,16.463714,26.045724,20.607718,24.250485
77,ENSG00000005073,HOXA11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,ENSG00000005075,POLR2J,71.187009,77.773645,77.693281,76.563369,85.283328,81.232232,80.47839,88.720615
79,ENSG00000005100,DHX33,48.769217,46.864665,45.727833,47.858443,50.441053,49.369727,44.631857,44.759099
80,ENSG00000005102,MEOX1,0.27653,0.067289,0.13011,0.679563,0.391772,0.141994,0.411692,0.766951
81,ENSG00000005108,THSD7A,1.270831,1.789796,0.785602,1.025726,0.539848,0.935092,0.578656,0.329952
82,ENSG00000005156,LIG3,62.512004,40.69445,50.041954,48.894613,63.323374,58.379811,50.152053,59.193124
83,ENSG00000005175,RPAP3,33.604894,36.8433,30.697569,34.355821,33.603678,35.18312,40.091224,33.987963
84,ENSG00000005187,ACSM3,2.809156,1.524311,1.405921,0.990679,1.367619,2.991166,3.661488,2.589343
85,ENSG00000005189,REXO5,8.253518,6.410506,7.439715,10.044664,6.460507,7.453173,9.055469,5.242558
86,ENSG00000005194,CIAPIN1,71.161879,73.300945,73.417386,79.267793,80.032602,79.478284,79.517005,86.120634
87,ENSG00000005206,SPPL2B,83.270831,75.790185,82.687803,79.367413,111.017706,88.361803,101.380298,127.263158
88,ENSG00000005238,FAM214B,4.285045,4.31029,4.235454,3.263138,5.456973,5.004114,6.637191,8.185188
89,ENSG00000005243,COPZ2,0.706543,0.684842,0.685612,0.109086,0.731122,3.740271,0.91867,2.88739
90,ENSG00000005249,PRKAR2B,15.061958,15.008353,14.732259,13.765223,12.767355,14.048223,13.06469,12.666162
91,ENSG00000005302,MSL3,11.925349,12.093231,13.121002,13.710216,12.533541,13.916957,16.211351,14.70729
92,ENSG00000005339,CREBBP,49.797144,35.573155,41.569048,45.61354,53.854393,48.621336,60.351034,51.209113
93,ENSG00000005379,TSPOAP1,5.338998,4.851186,7.215512,8.100921,5.621075,7.72116,11.815579,10.402553
94,ENSG00000005381,MPO,0.03397,0.0,0.042365,0.345702,0.0,0.0,0.027982,0.0
95,ENSG00000005421,PON1,0.199602,0.795882,0.741319,0.502274,0.166613,0.259844,0.143591,0.109427
96,ENSG00000005436,GCFC2,10.357531,10.65252,11.991604,10.664287,14.967876,13.618154,16.173815,13.670588
97,ENSG00000005448,WDR54,47.206863,49.177704,47.521709,42.840689,45.776147,45.95445,70.57082,76.932364
98,ENSG00000005469,CROT,3.897472,4.428428,6.393685,7.966725,5.157611,7.019146,5.536563,6.466334
